,AB,AGU,AK,AL,AR,AZ,BC,BCN,BCS,CA,CAM,CHI,CHP,CO,COA,COL,CT,DC,DE,DUR,FED,FL,GA,GTO,GUE,HID,IA,ID,IL,IN,JAL,KS,KY,LA,MA,MB,MCH,MD,ME,MEX,MI,MN,MO,MOR,MS,MT,NAY,NB,NC,ND,NE,NH,NJ,NL,NM,NS,NT,NU,NV,NVL,NY,OAX,OH,OK,ON,OR,PA,PE,PUE,QC,QUE,RI,SC,SD,SIN,SK,SLP,SON,TAB,TAM,TLA,TN,TX,UT,VA,VER,VT,WA,WI,WV,WY,YT,YUC,ZAC
AB,0,3642.53289294833,1400.32458712134,3192.09928077234,2667.81687334187,2236.08041664998,892.96107412381,2325.70521830944,3276.53635871074,1772.0516482603,4223.74921178916,2832.64857812237,4449.91811171027,1664.20327330254,3290.58259867819,3899.82334912058,3271.40577102241,3193.82768787208,3272.11051966007,3361.94630732311,3982.44741266872,3477.69536810968,3173.18756767807,3758.96555552107,4175.33398552244,3921.37232226561,1987.18420817368,1121.50499572217,2356.96567684273,2562.94711912771,3750.83433535119,2103.27198233354,2766.99481685475,3131.0335233679,3337.93342989475,1194.68317573629,4451.28723373687,3223.24147517204,3297.57170559766,3983.97460737067,2438.29842279365,1753.4388206265,2323.25264580275,4035.01300714468,3000.98506989034,781.324857092241,3631.78114407069,3406.64628831583,3338.91418577989,1172.17942171277,1893.21404582489,3251.14304868765,3242.96116276326,4213.94746344564,2070.84876896878,3684.12095074018,990.259710048462,2767.61388822437,1667.98655899763,3284.46648186095,3141.2288545883,4299.762400013,2739.96610016902,2361.96669012711,2702.18848037208,1179.27455147811,3103.39350477292,3618.95087893728,4050.99422699804,3052.25694987252,3826.21259068393,3350.10056885192,3343.86737564646,1397.7977006695,3232.31660593567,698.85374881501,3643.54986785804,2723.82286486878,4327.08409709799,3523.11563978575,4020.0086308795,2827.49871507279,2881.19862349785,1424.63423930886,3273.54521626387,4033.31940608316,3115.52098006924,984.141565536213,2114.90572916544,2951.68658517056,1524.00995480214,1515.73673815168,4146.05002333417,3539.25066352236
AGU,3642.53289294833,0,4788.46056732768,1963.04908693084,1730.6357369314,1605.53349534619,3490.15748390442,1766.80550011833,858.683495166251,2605.32171294394,1243.89433879079,841.763399639874,1118.94889982022,1999.62191858372,416.398134061175,327.958230616452,3534.16676788499,3055.93248188395,3183.29149209758,339.872177762891,426.626095291954,2031.38757930208,2195.13803106623,143.768376305153,562.42764392448,417.92893525295,2335.25691772383,2733.45684334646,2322.07764662144,2505.7499912044,172.095585069972,2007.92374768148,2460.11690510838,1460.9178947858,3682.95141185408,3142.11119608275,1508.05121581848,3100.64207475982,3877.77207684515,397.296570166574,2841.05340159639,2696.66071699095,2091.01815720716,458.005013495992,1665.19404084129,2880.33278374882,271.712315467206,4181.48051154321,2762.86293772292,2773.03975659155,2166.97836448602,3694.92104844105,3297.23815711743,5234.4728145757,1573.11552929854,4334.97232689866,4596.58309849081,5277.23712333809,2537.54759117442,467.323030124541,3508.40697577977,788.285304764757,2712.46419881121,1581.85621895507,3210.14106858281,3183.60011509673,3146.50406732308,4438.82588659829,532.435258126931,3928.3305967564,243.824897947484,3629.85486814642,2477.9667157353,2503.61735902586,614.176625820267,3179.12897964015,139.598591495754,1182.2882994902,1070.66973895232,384.469596357357,512.517407403877,2183.90990866019,1037.37057647667,2284.49844891318,2950.08275223483,616.129793641578,3684.21028088035,3350.23833034237,2639.96415728676,2690.32613906135,2151.99164445489,5000.7406611434,1316.96290626564,103.654291654787
AK,1400.32458712134,4788.46056732768,0,4584.5998740421,4044.06754213975,3224.18736348725,1317.04650337357,3183.75480481496,4244.97062294447,2381.15220877761,5533.31248405597,3949.1582641937,5711.9358639706,2934.07953988501,4488.81304814888,4997.68626130636,4582.3725486918,4557.91577433446,4625.99068641406,4473.33665160743,5170.55097014128,4870.87829105755,4570.76433000597,4919.18378846187,5344.59617468134,5120.56455790216,3384.93492702627,2058.44911151099,3755.8071702878,3958.06416350455,4866.51122459516,3482.69351970036,4162.95834134629,4492.34134005118,4629.67361734695,2565.11026844128,5775.70118442918,4583.90360910564,4552.87655155946,5161.9091323374,3814.22089481528,3148.7394787039,3716.28796883031,5217.92189033006,4377.76018749413,1984.55269977549,4719.54068428824,4608.38238468782,4725.35485961774,2570.44413607334,3277.17075838778,4536.04771012356,4583.64865507558,5250.81236134158,3265.46747132807,4879.3833370999,1188.03623945874,3439.79893499579,2371.42256420197,4497.34707819798,4450.14035441143,5511.97796122634,4125.15925007685,3699.47645962456,4039.45033206105,1675.88887822006,4456.79011416113,4783.21190173858,5252.58872269682,4279.55759694322,4999.65908875395,4650.76568199705,4739.98187561674,2784.29295181284,4284.25072762672,2097.43035644377,4817.24460584994,3710.03468937971,5598.64001824602,4741.52075438961,5223.21548438335,4225.41833666653,4172.4520661225,2512.86499171881,4647.66217242132,5258.40916579042,4394.67167193945,1469.50435724695,3507.6264676263,4338.8108248656,2817.26880562691,270.956885061054,5470.57989293148,4686.15053162359
AL,3192.09928077234,1963.04908693084,4584.5998740421,0,614.481403886159,2406.90123688512,3560.68348979995,2728.38321825844,2517.70205947871,3241.55643258432,1453.12439311087,1939.47578710183,1865.22038051398,1864.40283559828,1624.33886715299,2268.422261447,1593.197684177,1107.12393752102,1229.35052729117,2022.40616311683,1924.02784269115,288.424845066589,234.560160404276,1945.89345485785,2112.95797813856,1841.40822481474,1210.91004546887,2882.68459509158,877.532611816195,821.021183970684,2132.3181302351,1124.54185542265,658.041642398859,510.811875007607,1740.37683086265,2142.12633515069,1553.13043021363,1149.52016333579,1951.37782566469,1971.05477873798,1160.50945920513,1515.61288179415,870.064712037102,1975.20348312984,365.135474528746,2694.41701397285,2198.67912233467,2258.53090957449,800.755292605655,2021.90288062386,1317.39532208203,1764.98306440392,1350.2437446277,3289.14087822796,1845.01889986973,2387.89751552398,3886.2957879673,3698.61127985219,3094.94666537679,1550.96821768665,1586.77728623094,1996.58781644635,892.861696720599,1090.13193290961,1393.57021174126,3445.37845783082,1215.3603344417,2504.5464970621,1897.98632024947,2053.30289608806,1915.64576824711,1683.49137627465,522.659162597702,1804.70049329775,2220.92254826479,2508.62003444979,1839.70026583717,2380.80619381179,1729.90014722725,1582.04824497013,1873.58984536478,423.064711491111,1111.94732723628,2458.35978830083,990.669703493728,1775.67804323474,1777.80974602408,3487.43501703861,1218.58810613568,786.573013041248,1910.87860419323,4702.83966988822,1308.51545264149,1923.39951210425
AR,2667.81687334187,1730.6357369314,4044.06754213975,614.481403886159,0,1828.39972107999,2968.71440610386,2153.7279981317,2100.89742403654,2630.22431152405,1662.76116778764,1470.72523600334,1999.03408776484,1252.63770825915,1330.31068401916,2057.42685858069,1876.85068376075,1433.22060179515,1567.2351880345,1688.41405731154,1828.86517809248,889.991028943049,735.186013076072,1759.00265447709,2038.6072632794,1745.601570752,768.952523681215,2274.96301744377,607.648908965402,777.940740788317,1901.37722753866,564.979912576191,765.445201202774,487.431458578338,2024.34859432419,1727.95321524061,1845.65166843519,1481.0082640413,2194.29036364812,1863.03622063538,1111.60484600413,1136.20545292111,425.843827498552,1886.13432476839,334.383949309111,2111.92445695851,1917.39046008751,2490.42669282995,1244.87802920559,1518.31406241197,776.882276574501,2018.75231705473,1658.92022795759,3562.57842175242,1244.75489795139,2673.18074564066,3441.23111803207,3607.9597297813,2482.33395970777,1267.89343032183,1827.95920775559,2010.19656160387,1004.68837449175,481.8911218579,1486.94014730579,2838.16098529385,1489.2759531626,2756.59570177737,1838.79100144211,2212.55899294923,1761.46301951378,1979.41117734959,1036.90470932796,1271.45500040666,1825.80267323421,2009.81750445497,1634.74084427856,1867.95360641417,1861.25918654523,1390.80507368598,1809.05892821436,523.350236674747,712.845581031088,1845.04907125093,1369.26053775196,1748.87430662938,1987.51891952847,2888.72478362344,958.580469807664,1033.91078815053,1307.30495506515,4180.43779358684,1551.64745441128,1663.2411021668
AZ,2236.08041664998,1605.53349534619,3224.18736348725,2406.90123688512,1828.39972107999,0,1910.07569181629,326.338725060139,1047.75548448228,1019.08994223785,2613.47216406886,783.253579469288,2653.81419265108,943.958015037808,1394.42565762327,1782.50089096886,3561.06002813327,3186.5131234222,3317.39791655271,1272.80532607958,2018.2406064758,2640.00159609034,2560.91166382397,1745.36075789396,2167.18914859948,1984.63054419636,1860.69337464656,1184.40982568264,2118.14033440228,2411.06337545523,1660.22981105339,1596.66698468587,2502.671182999,1998.83203422499,3696.62904227095,2198.77326967314,2888.68495314034,3233.70452616726,3810.29688788981,1998.26756838171,2608.25386980936,2068.95312323296,1877.61779761877,2057.8965763397,2048.63232655039,1459.47754475984,1503.20359916394,4068.10044426884,3060.12475149395,1766.12427753913,1588.788625149,3662.11142426617,3381.82501837466,5126.31009546479,616.394865178596,4301.11965492884,3225.42204343485,4489.10885633767,935.45308185363,1430.39948720417,3477.82210748524,2378.05394509437,2681.6140044642,1356.99602869747,3037.72604854272,1583.88927534916,3202.65684293801,4338.99041413766,2114.21659115336,3727.03782082486,1836.83893242901,3666.22374109235,2864.64132236576,1579.94983331207,1062.48079796925,1985.21976276363,1662.48768540719,495.041551430001,2567.67360277691,1661.21645876996,2088.26105066795,2326.01811915378,1400.93001002771,814.345820199665,3154.98745668178,2155.04627431684,3587.97370684666,1762.95815496011,2244.10949758051,2788.09903543123,1069.27741670842,3452.57815204081,2611.21358624586,1507.80567036776
BC,892.96107412381,3490.15748390442,1317.04650337357,3560.68348979995,2968.71440610386,1910.07569181629,0,1871.91870160141,2930.33423211707,1105.35192334816,4318.96078287611,2649.51850100389,4457.19594773264,1750.5015784153,3211.02702998347,3688.91941069885,3971.93399609908,3810.48767404545,3907.8035057521,3168.77187140904,3883.12561459706,3846.78633769737,3599.78493170203,3624.11589270323,4050.04422453655,3837.70059123757,2442.75274425648,768.6841985258,2830.54524533977,3088.65264678562,3561.06341435996,2439.1912326144,3275.60809375783,3368.71322256303,4058.36865927388,1902.90159963109,4575.34741277266,3846.57635285375,4052.45011686877,3871.00217005922,3052.41428698757,2325.38442753253,2719.91954298046,3928.38424338057,3294.56837087393,875.520636161451,3410.05802881662,4196.79122107092,3883.53122237965,1696.05611266621,2260.29548077741,3980.61876111391,3902.78540813582,5062.96093711161,2009.95821861446,4473.07062464231,1653.31886279141,3655.21839545014,1069.17156944855,3226.24341274877,3847.64008787942,4232.06511423377,3310.9674637646,2557.20866229236,3384.0990137054,389.188020822396,3744.98124808155,4426.07881517436,3969.82280812393,3833.50149027278,3708.21801362316,4060.61702610348,3825.6920879005,1814.96561860955,2971.78109602427,1370.42596890751,3527.07868355353,2394.6071912469,4351.24753821406,3470.44349535599,3941.29586800098,3263.42317768761,2960.77125310291,1242.03497076773,3862.48864060596,3986.09951226347,3853.91749926253,158.861307397241,2680.16327391671,3506.64632119305,1666.94027660558,1555.13638668621,4273.49510645783,3388.70984671111
BCN,2325.70521830944,1766.80550011833,3183.75480481496,2728.38321825844,2153.7279981317,326.338725060139,1871.91870160141,0,1071.95597359714,853.189493363045,2855.11009157818,1002.79300867221,2856.18538558468,1224.94559386418,1618.22513533643,1894.32572284644,3880.13662571838,3510.44722703119,3640.96454104296,1427.06536389547,2190.95362955966,2957.10793604558,2885.34072192962,1910.16393908512,2318.47661524306,2167.90274613512,2170.19276088881,1218.51482524942,2438.70744181704,2732.87233684087,1792.58041847464,1915.83634253119,2827.44703401556,2310.51277587133,4014.45487850172,2436.12085622488,3132.13424090733,3557.53294457145,4123.41568569385,2163.91284556052,2921.81112603067,2358.90410402382,2200.50051255553,2224.58740906486,2368.53125574036,1574.19171996725,1620.1373726161,4376.84426862441,3386.05885820648,2006.02803080826,1897.14400058953,3977.94271328065,3703.79771470557,5429.47526949384,938.848817512928,4613.40479608523,3309.25662557821,4714.7367779352,819.183747804801,1663.876769942,3794.8410240377,2553.3166747251,3003.59757710683,1683.21497538463,3350.50464136576,1511.470770961,3524.54585030392,4646.99398992043,2292.87982604552,4032.1108167878,2007.32252582402,3985.16758538563,3189.68073301155,1844.65065372982,1174.64595037262,2167.40085271991,1843.77054050403,585.197564886028,2780.80584679773,1880.56936066984,2269.44880521135,2652.11297735405,1701.65277528281,955.960042890807,3480.27397550145,2350.2074442798,3900.88714148878,1716.44054446581,2551.96431997352,3112.76828325752,1333.94833673694,3425.78193671864,2865.33876109519,1676.5306147138
BCS,3276.53635871074,858.683495166251,4244.97062294447,2517.70205947871,2100.89742403654,1047.75548448228,2930.33423211707,1071.95597359714,0,1919.52456761032,2094.01673480133,652.600070221709,1969.40406077585,1802.47232109773,951.584287079751,871.34152534755,3975.68475743476,3528.12651473291,3661.46926672818,573.74652571003,1267.36169239596,2660.64282017892,2730.41343767972,992.81973378268,1340.71812207562,1273.14340612561,2478.78948960459,2228.45911729631,2600.13496996439,2848.81163283605,813.108589049581,2153.39847834233,2865.07173190867,2013.73251782121,4122.65224367809,3077.13188790439,2362.5635492735,3575.52667400661,4285.73807013561,1225.56614795854,3135.74147647645,2784.82233883915,2345.23566583427,1284.39595170248,2167.00283237496,2496.88723631252,627.964836459037,4575.38111567141,3296.23831106023,2657.39152389788,2242.65196496327,4113.97454397886,3757.29654576764,5649.39079680541,1348.47931339622,4768.32638070302,4263.91331902954,5343.50154515673,1890.53157288071,1024.52184688076,3923.22175993018,1613.97978877094,3096.83378445833,1762.41512913246,3549.18249474988,2579.45258531312,3588.80720186842,4844.23216818357,1376.51425281099,4275.22270175145,1094.15064355522,4078.27044673931,3037.10950591591,2421.12586884477,304.594843562898,2962.41717931284,980.443843925696,554.004868110695,1928.23143092033,1137.79154951078,1361.10361694044,2617.31777987871,1417.05396819118,1853.01025864402,3450.92817819331,1473.15563932416,4073.9229042015,2777.61269885182,2843.69548969833,3132.71758283606,1955.20570387583,4481.21111546298,2153.5231280559,804.445852428204
CA,1772.0516482603,2605.32171294394,2381.15220877761,3241.55643258432,2630.22431152405,1019.08994223785,1105.35192334816,853.189493363045,1919.52456761032,0,3626.07072047238,1800.63087912429,3670.71683794218,1428.67872175108,2413.09643782505,2746.12668741214,4108.30624910702,3818.54576065097,3938.95122598081,2267.09121039013,3024.99121069851,3503.51409585844,3352.88365868506,2747.50810953535,3162.1207233476,2995.86038173696,2387.70157362531,714.453107559525,2735.06455772669,3030.90015487687,2640.77553165286,2231.84663886344,3172.83808263038,2905.87199368472,4225.54444836735,2295.00989223791,3899.66024235719,3862.44368614919,4286.41515073583,3001.41396203214,3126.81277704787,2446.58438435036,2539.93955099775,3061.70055909895,2907.68829457705,1179.36618100175,2470.91118000234,4498.11231513967,3776.95384350779,1917.48687808331,2130.62238063152,4169.42997041996,3973.8072925642,5490.4169744918,1415.3657012055,4758.82941430682,2695.63732949371,4433.40844356315,163.314827795718,2448.43199062274,4002.69770259259,3386.45261197983,3293.69727536767,2152.45664502844,3532.39735323814,718.239602780411,3797.68924682135,4756.9423513586,3123.78185036251,4134.62132197241,2842.15628414475,4209.41161489441,3634.31841324833,1870.74356733607,2024.72398871537,1871.67733415331,2672.29534785524,1432.2749466456,3585.61161944953,2679.73378486237,3098.82551514208,3062.8444246634,2358.5226106088,857.966967267274,3823.71216097966,3170.30094336673,4067.54633381892,946.923960567919,2732.28575759031,3446.96840657881,1450.43693870539,2635.04508365628,3616.9028767293,2511.31530049593
