City,State,Country,Latitude,Longitude,,,
Montgomery,Alabama,USA,32.377716,-86.300568,,,
Juneau,Alaska,USA,58.301598,-134.420212,,,
Phoenix,Arizona ,USA,33.448143,-112.096962,,,
Little Rock,Arkansas,USA,34.746613,-92.288986,,,
Sacramento,California,USA,38.576668,-121.493629,,,
Denver,Colorado,USA,39.739227,-104.984856,,,
Hartford,Connecticut,USA,41.764046,-72.682198,,,
Dover,Delaware,USA,39.157307,-75.519722,,,
Tallahassee,Florida,USA,30.438118,-84.281296,,,
Atlanta,Georgia ,USA,33.749027,-84.388229,,,
Honolulu,Hawai’i,USA,21.307442,-157.857376,,,
Boise,Idaho,USA,43.617775,-116.199722,,,
Springfield,Illinois ,USA,39.798363,-89.654961,,,
Indianapolis,Indiana,USA,39.768623,-86.162643,,,
Des Moines,Iowa,USA,41.591087,-93.603729,,,
Topeka,Kansas,USA,39.048191,-95.677956,,,
Frankfort,Kentucky,USA,38.186722,-84.875374,,,
Baton Rouge,Louisiana,USA,30.457069,-91.187393,,,
Augusta,Maine,USA,44.307167,-69.781693,,,
Annapolis,Maryland,USA,38.978764,-76.490936,,,
Boston,Massachusetts ,USA,42.358162,-71.063698,,,
Lansing,Michigan,USA,42.733635,-84.555328,,,
St. Paul,Minnesota ,USA,44.955097,-93.102211,,,
Jackson,Mississippi,USA,32.303848,-90.182106,,,
Jefferson City,Missouri,USA,38.579201,-92.172935,,,
Helena,Montana,USA,46.585709,-112.018417,,,
Lincoln,Nebraska,USA,40.808075,-96.699654,,,
Carson City,Nevada,USA,39.163914,-119.766121,,,
Concord,New Hampshire,USA,43.206898,-71.537994,,,
Trenton,New Jersey,USA,40.220596,-74.769913,,,
Santa Fe,New Mexico,USA,35.68224,-105.939728,,,
Albany,New York,USA,42.652843,-73.757874,,,
Raleigh,North Carolina,USA,35.78043,-78.639099,,,
Bismark,North Dakota,USA,46.82085,-100.783318,,,
Columbus,Ohio,USA,39.961346,-82.999069,,,
Oklahoma City,Oklahoma ,USA,35.492207,-97.503342,,,
Salem,Oregon,USA,44.938461,-123.030403,,,
Harrisburg,Pennsylvania,USA,40.264378,-76.883598,,,
Providence,Rhose Island ,USA,41.830914,-71.414963,,,
Columbia,South Carolina,USA,34.000343,-81.033211,,,
