Date,Hour,Real-Time LMP,Day-Ahead LMP,Regional Power Demand,Gas Price ($/MMBtu),Generation Outages (MW),Gas_Marginal,Temperature - Boston (deg. F)
1/1/2019,1,35.42,25.57,11614,3.405,1693,0,39.9
1/1/2019,2,38.38,20.44,11497,3.405,1693,1,42.1
1/1/2019,3,21.09,18.84,11369,3.405,1693,1,43
1/1/2019,4,18.29,19.09,11270,3.405,1693,0,46
1/1/2019,5,7.48,17.78,11310,3.405,1693,0,46.9
1/1/2019,6,17.77,20.2,11516,3.405,1693,0,50
1/1/2019,7,10.71,20.62,11849,3.405,1693,0,54
1/1/2019,8,-44.3,22.98,11539,3.405,1693,0,54
1/1/2019,9,-19.7,23.74,11729,3.405,1693,0,55.9
1/1/2019,10,19.28,22.39,12187,3.405,1693,1,57.9
1/1/2019,11,12.16,25.28,12331,3.405,1693,0,57.9
1/1/2019,12,2.56,25.63,12149,3.405,1693,0,55.9
1/1/2019,13,11.31,25.62,12082,3.405,1693,0,55
1/1/2019,14,11.22,25.38,12154,3.405,1693,1,54
1/1/2019,15,17.99,25.33,12349,3.405,1693,0,51.1
1/1/2019,16,16.22,24.38,13037,3.405,1693,0,48
1/1/2019,17,18.21,26.09,14316,3.405,1693,0,45
1/1/2019,18,24.99,37.32,15392,3.405,1693,1,44.1
1/1/2019,19,22.71,33.46,15287,3.405,1693,1,42.1
1/1/2019,20,22.06,28.91,14862,3.405,1693,1,41
1/1/2019,21,23.31,25.79,14305,3.405,1693,1,39
1/1/2019,22,20.16,24.9,13503,3.405,1693,1,37
1/1/2019,23,19.08,24.43,12504,3.405,1693,0,35.1
1/1/2019,24,17.76,23.66,11894.1667,3.405,1693,0,34
1/2/2019,1,3.64,24.51,11614,3.405,1945,0,33.1
1/2/2019,2,0.56,23.36,11124,3.405,1945,0,32
1/2/2019,3,18.76,19.98,11046,3.405,1945,1,30.9
1/2/2019,4,22.45,21.91,11164,3.405,1945,0,30
1/2/2019,5,18.75,24.76,11593,3.405,1945,0,28.9
1/2/2019,6,16.59,29.18,12692,3.405,1945,1,28.9
1/2/2019,7,29.7,32.28,14279,3.405,1945,1,28
1/2/2019,8,30.49,29.09,15390,3.405,1945,1,28.9
1/2/2019,9,25.62,28.32,15296,3.405,1945,1,30
1/2/2019,10,22.02,25.64,14725,3.405,1945,1,32
1/2/2019,11,24.47,30.18,14298,3.405,1945,1,33.1
1/2/2019,12,25.36,26.88,14062,3.405,1945,1,35.1
1/2/2019,13,24.07,25.58,13877,3.405,1945,1,36
1/2/2019,14,24.71,25.81,14127,3.405,1945,1,35.1
1/2/2019,15,25.66,27.03,14611,3.405,1945,1,34
1/2/2019,16,30.39,30.5,15287,3.405,1945,1,33.1
1/2/2019,17,36.15,41.59,16423,3.405,1945,1,32
1/2/2019,18,39.89,61.73,17416,3.405,1945,0,32
1/2/2019,19,68.24,60.42,17351,3.405,1945,1,32
1/2/2019,20,33.45,54.13,16943,3.405,1945,0,32
1/2/2019,21,28.94,46.22,16268,3.405,1945,0,32
1/2/2019,22,28.66,38.5,15240,3.405,1945,0,32
1/2/2019,23,25.83,33.8,13913,3.405,1945,1,32
1/2/2019,24,24.83,25.72,12868.5833,3.405,1945,1,32
1/3/2019,1,25.15,33.78,12558,2.955,2537,1,33.1
1/3/2019,2,23.89,30.74,12233,2.955,2537,1,35.1
1/3/2019,3,22.71,27.98,12196,2.955,2537,1,35.1
1/3/2019,4,20.67,28.16,12178,2.955,2537,1,35.1
1/3/2019,5,21.17,30.76,12325,2.955,2537,1,36
1/3/2019,6,25.65,38.02,13177,2.955,2537,0,36
1/3/2019,7,34.13,47.54,14314,2.955,2537,0,37
1/3/2019,8,32.95,47.49,15340,2.955,2537,0,37.9
1/3/2019,9,35.52,42.97,15458,2.955,2537,1,37.9
1/3/2019,10,39.3,44.22,15238,2.955,2537,1,37.9
1/3/2019,11,41.12,42.73,14621,2.955,2537,1,42.1
1/3/2019,12,26.89,34.46,14108,2.955,2537,1,45
1/3/2019,13,24.51,28.17,13995,2.955,2537,1,45
1/3/2019,14,24.95,27.28,14075,2.955,2537,1,45
1/3/2019,15,28.59,27.3,14334,2.955,2537,1,45
1/3/2019,16,32.51,27.18,14810,2.955,2537,1,44.1
1/3/2019,17,38.34,32.74,15803,2.955,2537,0,42.1
1/3/2019,18,27.88,43.95,16766,2.955,2537,0,41
1/3/2019,19,30.55,41.15,16695,2.955,2537,1,39.9
1/3/2019,20,25.28,39.22,16275,2.955,2537,0,39
1/3/2019,21,25,33.57,15637,2.955,2537,1,37.9
1/3/2019,22,25.81,29.11,14654,2.955,2537,1,37.9
1/3/2019,23,23.07,25.75,13420,2.955,2537,1,39
1/3/2019,24,21.43,24.88,12371.5833,2.955,2537,1,39
1/4/2019,1,19.57,22.14,11892,2.711,2751,1,37.9
1/4/2019,2,21.5,22.88,11725,2.711,2751,1,37.9
1/4/2019,3,20.49,22.12,11543,2.711,2751,1,37
1/4/2019,4,21.32,22.11,11534,2.711,2751,1,37
1/4/2019,5,22.18,22.21,11660,2.711,2751,1,36
1/4/2019,6,27.9,29.69,12626,2.711,2751,1,36
1/4/2019,7,25.24,29.05,14091,2.711,2751,1,35.1
1/4/2019,8,23.47,31.14,15067,2.711,2751,1,36
1/4/2019,9,22.38,27.3,14887,2.711,2751,1,37.9
1/4/2019,10,21.09,24,14311,2.711,2751,1,41
1/4/2019,11,20.45,23.12,13924,2.711,2751,1,43
1/4/2019,12,20.15,22.57,13641,2.711,2751,1,45
1/4/2019,13,20.51,22.31,13408,2.711,2751,1,46.9
1/4/2019,14,20.58,21.85,13644,2.711,2751,1,46.9
1/4/2019,15,21.74,22,13964,2.711,2751,1,46.9
1/4/2019,16,22.25,22.71,14379,2.711,2751,1,46
1/4/2019,17,28.32,23.76,15321,2.711,2751,1,44.1
1/4/2019,18,28.28,32.47,16057,2.711,2751,1,43
1/4/2019,19,27.16,30.44,15835,2.711,2751,0,43
1/4/2019,20,22.49,25.61,15369,2.711,2751,1,42.1
1/4/2019,21,21.89,24.01,14804,2.711,2751,1,42.1
1/4/2019,22,28.03,23.53,14060,2.711,2751,1,42.1
1/4/2019,23,22.55,23.51,13077,2.711,2751,0,39.9
1/4/2019,24,30.06,23.38,12289.1667,2.711,2751,1,39.9
1/5/2019,1,38.38,22.74,11585,3.292,2524,0,39.9
1/5/2019,2,21.35,20.08,11105,3.292,2524,1,39.9
1/5/2019,3,17.44,19.58,10831,3.292,2524,1,39.9
1/5/2019,4,20.04,18.68,10746,3.292,2524,1,39.9
1/5/2019,5,19.42,19.61,11115,3.292,2524,1,39
1/5/2019,6,22.22,20.43,11251,3.292,2524,1,39.9
1/5/2019,7,26.06,25.74,11863,3.292,2524,1,39.9
1/5/2019,8,22.64,23.64,12382,3.292,2524,0,41
1/5/2019,9,15.62,23.48,13147,3.292,2524,1,42.1
1/5/2019,10,21.69,30.76,13784,3.292,2524,1,43
1/5/2019,11,23.17,33.43,14092,3.292,2524,1,43
1/5/2019,12,24.79,33.3,14194,3.292,2524,1,42.1
1/5/2019,13,24.43,32.84,14184,3.292,2524,1,42.1
1/5/2019,14,25.8,31.78,14128,3.292,2524,1,41
1/5/2019,15,27.13,31.38,14169,3.292,2524,1,41
1/5/2019,16,29.04,28.97,14362,3.292,2524,1,39.9
1/5/2019,17,30.83,36.72,15047,3.292,2524,0,39.9
1/5/2019,18,27.67,41.35,15516,3.292,2524,0,39.9
1/5/2019,19,24.22,33.42,15264,3.292,2524,1,39.9
1/5/2019,20,22.69,28.76,14738,3.292,2524,1,39
1/5/2019,21,22.44,27.06,14218,3.292,2524,1,39
1/5/2019,22,22.11,24.57,13569,3.292,2524,1,39
1/5/2019,23,23.44,23.63,12777,3.292,2524,1,37.9
1/5/2019,24,29.77,24.57,11943,3.292,2524,1,37.9
1/6/2019,1,17.07,20.56,11261,3.292,1455,0,37.9
1/6/2019,2,16.2,20.15,11039,3.292,1455,0,37
1/6/2019,3,18.63,18.64,11195,3.292,1455,1,36
1/6/2019,4,18.9,20.05,11350,3.292,1455,1,36
1/6/2019,5,18.96,19.89,11433,3.292,1455,1,37
1/6/2019,6,19.55,20.25,11703,3.292,1455,1,37.9
1/6/2019,7,18.17,20.57,11951,3.292,1455,1,37.9
1/6/2019,8,28.47,19.85,12012,3.292,1455,1,37.9
1/6/2019,9,31.18,21.44,12633,3.292,1455,1,39
1/6/2019,10,45.71,21.49,12977,3.292,1455,1,39.9
1/6/2019,11,32.76,21.57,13118,3.292,1455,1,42.1
1/6/2019,12,31.86,21.52,13133,3.292,1455,1,44.1
1/6/2019,13,21.94,21.43,13050,3.292,1455,1,45
1/6/2019,14,20.75,21.15,13134,3.292,1455,1,46.9
1/6/2019,15,20.56,21.43,13372,3.292,1455,1,43
1/6/2019,16,21.26,20.34,13923,3.292,1455,1,42.1
1/6/2019,17,23.63,23.74,15078,3.292,1455,1,39
1/6/2019,18,39.7,39.06,16211,3.292,1455,0,36
1/6/2019,19,35.7,32.47,16203,3.292,1455,1,34
1/6/2019,20,34.74,31.94,15829,3.292,1455,1,32
1/6/2019,21,29.9,26.13,15376,3.292,1455,1,30
1/6/2019,22,28.79,30.42,14557,3.292,1455,1,28.9
